New_date,Closing,RET,MA200,MA50
1/24/2022,24656.46,-0.012457939,26199.82695,23958.4034
1/25/2022,24243.61,-0.016885858,26177.551,23935.4574
1/26/2022,24289.9,0.001907549,26156.7341,23906.9798
1/27/2022,23807,-0.020080971,26133.28285,23870.1182
1/28/2022,23550.08,-0.010850438,26106.5291,23834.7254
1/31/2022,23802.26,0.010651317,26081.5747,23809.7712
2/4/2022,24573.29,0.031879547,26059.5926,23802.2102
2/7/2022,24579.55,0.000254716,26036.9596,23800.7696
2/8/2022,24329.49,-0.010225602,26012.9284,23793.6494
2/9/2022,24829.99,0.020363002,25993.96875,23795.446
2/10/2022,24924.35,0.00379304,25974.8138,23812.3226
2/11/2022,24906.66,-0.00071,25953.95335,23833.411
2/14/2022,24556.57,-0.014155802,25931.97205,23855.0372
2/15/2022,24355.71,-0.008213117,25909.0429,23868.973
2/16/2022,24718.9,0.014801814,25887.2807,23887.5724
2/17/2022,24792.77,0.002983945,25864.72825,23908.094
2/18/2022,24327.71,-0.018936049,25842.7424,23927.6606
2/21/2022,24170.07,-0.006500939,25821.80505,23931.3888
2/22/2022,23520,-0.027263968,25796.61935,23921.8514
2/23/2022,23660.28,0.00594657,25772.83085,23909.9598
2/24/2022,22901.56,-0.032592662,25744.15135,23888.0766
2/25/2022,22767.18,-0.005885005,25714.934,23864.3286
2/28/2022,22713.02,-0.002381697,25685.5208,23845.87
3/1/2022,22761.71,0.00214141,25659.2603,23832.689
3/2/2022,22343.92,-0.01852549,25629.8247,23810.0574
3/3/2022,22467.34,0.005508451,25603.56805,23795.5516
3/4/2022,21905.29,-0.025334539,25572.95665,23778.7602
3/7/2022,21057.63,-0.039465195,25537.27435,23740.4862
3/8/2022,20765.87,-0.013952191,25498.13465,23693.757
3/9/2022,20627.71,-0.006675456,25459.02175,23642.4384
3/10/2022,20890.26,0.012647704,25421.18085,23595.7684
3/11/2022,20553.79,-0.016237669,25381.8885,23541.233
3/14/2022,19531.66,-0.051008613,25334.9925,23470.1354
3/15/2022,18415.08,-0.058866845,25281.23785,23376.1968
3/16/2022,20087.5,0.086927837,25236.10935,23309.9934
3/17/2022,21501.23,0.068012412,25197.99345,23274.523
3/18/2022,21412.4,-0.004139949,25159.29645,23236.9742
3/21/2022,21221.34,-0.008962914,25118.06315,23203.256
3/22/2022,21889.28,0.03098974,25081.02145,23179.5844
3/23/2022,22154.08,0.012024659,25046.9617,23152.7984
3/24/2022,21945.95,-0.009439066,25012.10095,23116.7866
3/25/2022,21404.88,-0.024963679,24975.18895,23070.103
3/28/2022,21684.97,0.01300046,24939.7069,23015.759
3/29/2022,21927.63,0.011128092,24905.6319,22965.7162
3/30/2022,22232.03,0.013786556,24873.09765,22922.6904
3/31/2022,21996.85,-0.010634781,24838.87125,22878.2668
4/1/2022,22039.55,0.001939305,24805.87635,22836.8022
4/4/2022,22502.31,0.020779404,24776.2037,22804.2914
4/6/2022,22080.52,-0.018922199,24743.81335,22746.8548
4/7/2022,21808.98,-0.01237396,24708.8519,22683.7234
4/8/2022,21872.01,0.002885926,24675.76695,22628.0344
4/11/2022,21208.3,-0.030815123,24640.25965,22567.3282
4/12/2022,21319.13,0.005212177,24602.76995,22507.9128
4/13/2022,21374.37,0.002587749,24565.2295,22459.2602
4/14/2022,21518.08,0.006700971,24526.3788,22418.6202
4/19/2022,21027.76,-0.023050042,24485.1761,22363.1302
4/20/2022,20944.67,-0.003959271,24444.92895,22290.5578
4/21/2022,20682.22,-0.012609805,24404.2003,22212.6112
4/22/2022,20638.52,-0.002115161,24365.8408,22138.7918
4/25/2022,19869.34,-0.037981393,24324.47,22039.5788
4/26/2022,19934.71,0.003284593,24283.77925,21939.786
4/27/2022,19946.36,0.000584237,24243.70795,21840.58
4/28/2022,20276.17,0.016399634,24209.32315,21754.972
4/29/2022,21089.39,0.039323766,24178.0474,21689.6456
5/3/2022,21101.89,0.00059254,24145.98065,21617.3054
5/4/2022,20869.52,-0.011072889,24110.5112,21538.8404
5/5/2022,20793.4,-0.003654093,24075.5409,21468.1542
5/6/2022,20001.96,-0.03880536,24035.56935,21384.792
